0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,Class
229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,0
146,146,146,70,70,70,93,93,93,128,128,128,116,116,116,172,172,172,173,173,173,118,118,118,173,173,173,119,119,119,126,126,126,98,98,98,153,153,153,125,125,125,121,121,121,120,120,120,0
90,90,90,97,97,97,255,255,255,93,93,93,96,96,96,34,34,34,57,57,57,47,47,47,92,92,92,89,89,89,87,87,87,58,58,58,104,104,104,99,99,99,255,255,255,90,90,90,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,167,180,180,180,180,180,180,167,167,167,163,163,163,12,12,12,163,163,163,157,157,157,13,13,13,14,14,14,161,161,161,146,146,146,12,12,12,14,14,14,129,129,129,116,116,116,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,0,0,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,228,228,228,228,228,229,229,229,233,233,233,228,228,228,228,228,228,229,229,229,229,229,229,224,224,224,226,226,226,229,229,229,233,233,233,228,228,228,228,228,228,228,228,228,233,233,233,0
39,39,39,23,23,23,21,21,21,21,21,21,23,23,23,113,113,113,66,66,66,21,21,21,21,21,21,46,46,46,120,120,120,41,41,41,22,22,22,25,25,25,25,25,25,25,25,25,0
83,83,83,117,117,117,74,74,74,70,70,70,124,124,124,135,135,135,150,150,150,131,131,131,168,168,168,147,147,147,49,49,49,179,179,179,187,187,187,133,133,133,175,175,175,174,174,174,0
91,91,91,113,113,113,91,91,91,91,91,91,98,98,98,96,96,96,112,112,112,107,107,107,119,119,119,115,115,115,96,96,96,96,96,96,91,91,91,133,133,133,122,122,122,95,95,95,0
232,67,79,207,96,94,225,96,95,221,21,63,175,65,76,217,99,99,217,184,171,209,137,125,238,63,75,224,21,63,218,24,67,240,131,119,236,24,71,99,26,65,224,108,103,247,69,83,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,123,0,0,0,0,0,0,0,0,0,156,156,156,124,124,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,134,134,247,247,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,28,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,28,28,28,30,30,30,29,29,29,29,29,29,30,30,30,29,29,29,29,29,29,30,30,30,30,30,30,0
0,0,0,0,0,0,123,123,123,0,0,0,173,173,173,0,0,0,0,0,0,91,91,91,0,0,0,159,159,159,0,0,0,27,27,27,147,147,147,0,0,0,120,120,120,170,170,170,0
